buy_date,sell_date,symbol,buy_price,sell_price,shares,cost,proceeds,profit,pct_return,cash_after
2024-12-19,2024-12-27,HUM,234.63,250.48,4,938.52,1001.92,63.39999999999998,0.06755316881899158,1063.4
2024-12-20,2024-12-30,MDT,77.33,78.32,13,1005.29,1018.1599999999999,12.86999999999989,0.012802275960170589,1076.27
2024-12-23,2024-12-31,MU,89.63,85.2,12,1075.56,1022.4000000000001,-53.159999999999854,-0.04942541559745608,1023.1100000000001
2024-12-24,2025-01-02,LW,62.71,65.5,16,1003.36,1048.0,44.639999999999986,0.044490511880082906,1067.75
2024-12-26,2025-01-03,TSN,55.52,56.08,19,1054.88,1065.52,10.639999999999873,0.010086455331411982,1078.3899999999999
2024-12-27,2025-01-06,APP,345.0,358.88,3,1035.0,1076.6399999999999,41.63999999999987,0.040231884057970894,1120.0299999999997
2024-12-30,2025-01-07,APP,328.73,345.68,3,986.19,1037.04,50.84999999999991,0.05156207221732111,1170.8799999999997
2024-12-31,2025-01-08,SMCI,30.87,33.97,37,1142.19,1256.8899999999999,114.69999999999982,0.10042112082928394,1285.5799999999995
2025-01-02,2025-01-10,HUM,254.29,265.21,5,1271.45,1326.05,54.59999999999991,0.04294309646466625,1340.1799999999994
2025-01-03,2025-01-13,LW,64.38,59.46,20,1287.6,1189.2,-98.39999999999986,-0.07642124883504184,1241.7799999999995
2025-01-06,2025-01-14,LW,64.13,59.44,19,1218.4699999999998,1129.36,-89.1099999999999,-0.0731326992047403,1152.6699999999996
2025-01-07,2025-01-15,ALGN,219.56,214.55,5,1097.8,1072.75,-25.049999999999955,-0.02281836400072869,1127.6199999999997
2025-01-08,2025-01-16,COIN,263.88,274.0,4,1055.52,1096.0,40.48000000000002,0.038350765499469475,1168.0999999999997
2025-01-10,2025-01-17,COIN,257.77,292.0,4,1031.08,1168.0,136.92000000000007,0.13279279978275216,1305.0199999999998
2025-01-13,2025-01-21,EXPD,108.23,109.17,12,1298.76,1310.04,11.279999999999973,0.008685207428624206,1316.2999999999997
2025-01-14,2025-01-22,EIX,54.79,59.06,24,1314.96,1417.44,102.48000000000002,0.07793392954918782,1418.7799999999997
2025-01-15,2025-01-23,PCG,16.47,16.46,86,1416.4199999999998,1415.5600000000002,-0.8599999999996726,-0.00060716454159054,1417.92
2025-01-16,2025-01-24,MRNA,34.75,43.18,40,1390.0,1727.2,337.20000000000005,0.242589928057554,1755.1200000000001
2025-01-17,2025-01-27,CRL,165.41,166.55,10,1654.1,1665.5,11.400000000000091,0.006891965419261285,1766.5200000000002
2025-01-21,2025-01-28,CRL,165.28,167.47,10,1652.8,1674.7,21.90000000000009,0.013250242013552814,1788.4200000000003
2025-01-22,2025-01-29,MRNA,36.35,43.28,49,1781.15,2120.7200000000003,339.57000000000016,0.19064649243466308,2127.9900000000007
2025-01-23,2025-01-30,STZ,175.18,178.61,12,2102.16,2143.32,41.16000000000031,0.019579860714693607,2169.150000000001
2025-01-24,2025-01-31,PCG,16.11,15.66,134,2158.74,2098.44,-60.29999999999973,-0.027932960893854625,2108.8500000000013
2025-01-27,2025-02-03,PCG,16.37,15.36,128,2095.36,1966.08,-129.2800000000002,-0.061698228466707486,1979.570000000001
2025-01-28,2025-02-04,GEV,350.85,360.02,5,1754.25,1800.1,45.84999999999991,0.026136525580732456,2025.420000000001
2025-01-29,2025-02-05,ANET,107.38,114.72,18,1932.84,2064.96,132.12000000000012,0.06835537344011927,2157.540000000001
2025-01-30,2025-02-06,SMCI,28.58,31.97,75,2143.5,2397.75,254.25,0.11861441567529742,2411.790000000001
2025-01-31,2025-02-07,EME,453.0,470.24,5,2265.0,2351.2,86.19999999999982,0.03805739514348778,2497.9900000000007
2025-02-03,2025-02-10,NVDA,114.72,130.05,21,2409.12,2731.05,321.9300000000003,0.13362970711297084,2819.920000000001
2025-02-04,2025-02-11,SMCI,27.82,40.59,101,2809.82,4099.59,1289.77,0.45902228612508983,4109.6900000000005
2025-02-05,2025-02-12,EA,126.43,131.18,32,4045.76,4197.76,152.0,0.03757019694692715,4261.6900000000005
2025-02-06,2025-02-13,ANET,116.88,109.72,36,4207.68,3949.92,-257.7600000000002,-0.061259411362080816,4003.9300000000003
2025-02-07,2025-02-14,SWKS,63.29,63.73,63,3987.27,4014.99,27.7199999999998,0.006952125138252438,4031.65
2025-02-10,2025-02-18,MU,92.92,102.35,43,3995.56,4401.05,405.49000000000024,0.10148514851485155,4437.14
2025-02-11,2025-02-19,SWKS,61.53,64.11,72,4430.16,4615.92,185.76000000000022,0.04193076548025359,4622.900000000001
2025-02-12,2025-02-20,TSLA,329.94,361.51,14,4619.16,5061.139999999999,441.97999999999956,0.09568406376917006,5064.88
2025-02-13,2025-02-21,SMCI,39.01,61.0,129,5032.29,7869.0,2836.71,0.5637016149705204,7901.59
2025-02-14,2025-02-24,WST,202.14,208.94,39,7883.459999999999,8148.66,265.2000000000007,0.033640051449490546,8166.790000000001
2025-02-18,2025-02-25,EL,68.39,73.58,119,8138.41,8756.02,617.6100000000006,0.07588828776136869,8784.400000000001
2025-02-19,2025-02-26,DDOG,130.52,115.84,67,8744.84,7761.280000000001,-983.5599999999995,-0.11247318418633154,7800.840000000002
